"year","length","budget","votes","genre","rating","is_high_rating","is_high_rating_factor","log_votes"
1963,107,11.4,225,"Romance",3.1,0,"Poor (<=7)",5.42053499927229
1992,32,15.4,6,"Documentary",7.7,1,"Good (>7)",1.94591014905531
1964,87,9.4,34,"Comedy",5.5,0,"Poor (<=7)",3.55534806148941
2003,95,13.3,22,"Action",4.9,0,"Poor (<=7)",3.13549421592915
1983,96,9.6,10,"Drama",2.9,0,"Poor (<=7)",2.39789527279837
1989,92,12,200,"Action",4.2,0,"Poor (<=7)",5.30330490805908
1940,81,16,7,"Drama",5.3,0,"Poor (<=7)",2.07944154167984
1906,8,11,5,"Drama",7.7,1,"Good (>7)",1.79175946922805
1995,125,12.7,21,"Drama",3.8,0,"Poor (<=7)",3.09104245335832
1980,97,10.6,71,"Comedy",8.2,1,"Good (>7)",4.27666611901606
1940,10,9.1,6,"Documentary",8,1,"Good (>7)",1.94591014905531
1959,95,11.7,19,"Comedy",8.7,1,"Good (>7)",2.99573227355399
1988,104,14.8,892,"Drama",4.5,0,"Poor (<=7)",6.7945865808765
2001,75,12.8,16,"Animation",2.6,0,"Poor (<=7)",2.83321334405622
1940,68,6.3,28,"Drama",3.6,0,"Poor (<=7)",3.36729582998647
1969,80,5.1,66,"Drama",3.9,0,"Poor (<=7)",4.20469261939097
1997,52,9.5,5,"Documentary",7.4,1,"Good (>7)",1.79175946922805
1990,6,14.6,7,"Animation",8.3,1,"Good (>7)",2.07944154167984
1994,93,15.3,79,"Drama",3.8,0,"Poor (<=7)",4.38202663467388
2000,20,11,5,"Short",8.4,1,"Good (>7)",1.79175946922805
1949,6,16.2,13,"Animation",8.6,1,"Good (>7)",2.63905732961526
2002,97,8.8,231,"Comedy",2.7,0,"Poor (<=7)",5.44673737166631
2003,143,12.2,443,"Drama",4.3,0,"Poor (<=7)",6.09582456243222
1968,90,9.8,6,"Drama",3.3,0,"Poor (<=7)",1.94591014905531
1950,71,7.3,44,"Comedy",3.4,0,"Poor (<=7)",3.80666248977032
1915,11,8.7,8,"Comedy",7.8,1,"Good (>7)",2.19722457733622
1984,97,17.7,147,"Action",8.6,1,"Good (>7)",4.99721227376411
1963,76,7.2,167,"Action",3.4,0,"Poor (<=7)",5.12396397940326
1970,77,15.5,8,"Comedy",7.8,1,"Good (>7)",2.19722457733622
1999,157,9.8,28780,"Drama",4.5,0,"Poor (<=7)",10.2674707261894
1998,87,6.8,35,"Comedy",3.1,0,"Poor (<=7)",3.58351893845611
1982,90,13.6,24,"Drama",3,0,"Poor (<=7)",3.2188758248682
1955,8,9.7,7,"Animation",2,0,"Poor (<=7)",2.07944154167984
1967,78,20.6,14,"Drama",7.8,1,"Good (>7)",2.70805020110221
2004,96,13.5,108,"Comedy",4,0,"Poor (<=7)",4.69134788222914
1983,5,14.1,31,"Animation",7.9,1,"Good (>7)",3.46573590279973
1988,288,8.3,126,"Drama",3.4,0,"Poor (<=7)",4.84418708645859
1989,80,13.1,36,"Documentary",8.3,1,"Good (>7)",3.61091791264422
1981,83,9.3,50,"Action",1.4,0,"Poor (<=7)",3.93182563272433
